timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520816238741,1,TCP Sampler Text,200,OK,Thread Group 1-1,text,true,,81,0,1,1,1,0,0
1520816238750,1,TCP Sampler Binary,200,OK,Thread Group 1-1,text,true,,34,0,1,1,1,0,0
1520816238751,1,TCP Sampler Text,200,OK,Thread Group 1-1,text,true,,81,0,1,1,1,0,0
1520816238752,1,TCP Sampler Binary,200,OK,Thread Group 1-1,text,true,,34,0,1,1,1,0,1
1520816238758,1,TCP Sampler Text,200,OK,Thread Group 1-2,text,true,,81,0,1,1,1,0,0
1520816238759,1,TCP Sampler Binary,200,OK,Thread Group 1-2,text,true,,34,0,1,1,1,0,0
1520816238760,1,TCP Sampler Text,200,OK,Thread Group 1-2,text,true,,81,0,1,1,1,0,0
1520816238761,0,TCP Sampler Binary,200,OK,Thread Group 1-2,text,true,,34,0,1,1,0,0,0
1520816238783,1,TCP Sampler Text,200,OK,Thread Group 1-3,text,true,,81,0,1,1,1,0,0
1520816238784,1,TCP Sampler Binary,200,OK,Thread Group 1-3,text,true,,34,0,1,1,0,0,0
1520816238785,0,TCP Sampler Text,200,OK,Thread Group 1-3,text,true,,81,0,1,1,0,0,0
1520816238786,0,TCP Sampler Binary,200,OK,Thread Group 1-3,text,true,,34,0,1,1,0,0,0
1520816238793,1,TCP Sampler Text,200,OK,Thread Group 1-4,text,true,,81,0,1,1,1,0,0
1520816238797,2,TCP Sampler Binary,200,OK,Thread Group 1-4,text,true,,34,0,1,1,2,0,0
1520816238800,2,TCP Sampler Text,200,OK,Thread Group 1-4,text,true,,81,0,1,1,2,0,2
1520816238803,1,TCP Sampler Binary,200,OK,Thread Group 1-4,text,true,,34,0,1,1,0,0,0
1520816238822,1,TCP Sampler Text,200,OK,Thread Group 1-5,text,true,,81,0,1,1,1,0,0
1520816238824,0,TCP Sampler Binary,200,OK,Thread Group 1-5,text,true,,34,0,1,1,0,0,0
1520816238825,0,TCP Sampler Text,200,OK,Thread Group 1-5,text,true,,81,0,1,1,0,0,0
1520816238825,1,TCP Sampler Binary,200,OK,Thread Group 1-5,text,true,,34,0,1,1,1,0,1
1520816238828,1,TCP Sampler Text,200,OK,Thread Group 1-6,text,true,,81,0,1,1,1,0,0
1520816238829,1,TCP Sampler Binary,200,OK,Thread Group 1-6,text,true,,34,0,1,1,1,0,1
1520816238830,1,TCP Sampler Text,200,OK,Thread Group 1-6,text,true,,81,0,1,1,1,0,0
1520816238831,1,TCP Sampler Binary,200,OK,Thread Group 1-6,text,true,,34,0,1,1,1,0,0
1520816238862,1,TCP Sampler Text,200,OK,Thread Group 1-7,text,true,,81,0,1,1,1,0,1
1520816238866,8,TCP Sampler Text,200,OK,Thread Group 1-8,text,true,,81,0,2,2,8,0,1
1520816238864,11,TCP Sampler Binary,200,OK,Thread Group 1-7,text,true,,34,0,2,2,11,0,0
1520816238876,0,TCP Sampler Text,200,OK,Thread Group 1-7,text,true,,81,0,2,2,0,0,0
1520816238874,3,TCP Sampler Binary,200,OK,Thread Group 1-8,text,true,,34,0,2,2,2,0,0
1520816238877,1,TCP Sampler Text,200,OK,Thread Group 1-8,text,true,,81,0,2,2,1,0,0
1520816238877,1,TCP Sampler Binary,200,OK,Thread Group 1-7,text,true,,34,0,2,2,1,0,0
1520816238878,3,TCP Sampler Binary,200,OK,Thread Group 1-8,text,true,,34,0,1,1,2,0,0
1520816238903,0,TCP Sampler Text,200,OK,Thread Group 1-9,text,true,,81,0,1,1,0,0,0
1520816238904,1,TCP Sampler Binary,200,OK,Thread Group 1-9,text,true,,34,0,1,1,0,0,0
1520816238911,2,TCP Sampler Text,200,OK,Thread Group 1-10,text,true,,81,0,2,2,2,0,1
1520816238905,10,TCP Sampler Text,200,OK,Thread Group 1-9,text,true,,81,0,2,2,10,0,0
1520816238916,2,TCP Sampler Binary,200,OK,Thread Group 1-9,text,true,,34,0,2,2,2,0,0
1520816238914,9,TCP Sampler Binary,200,OK,Thread Group 1-10,text,true,,34,0,1,1,9,0,0
1520816238923,1,TCP Sampler Text,200,OK,Thread Group 1-10,text,true,,81,0,1,1,1,0,0
1520816238925,1,TCP Sampler Binary,200,OK,Thread Group 1-10,text,true,,34,0,1,1,1,0,0
1520816238944,10,TCP Sampler Text,200,OK,Thread Group 1-11,text,true,,81,0,2,2,10,0,0
1520816238951,5,TCP Sampler Text,200,OK,Thread Group 1-12,text,true,,81,0,2,2,5,0,0
1520816238955,2,TCP Sampler Binary,200,OK,Thread Group 1-11,text,true,,34,0,2,2,2,0,0
1520816238958,1,TCP Sampler Text,200,OK,Thread Group 1-11,text,true,,81,0,2,2,1,0,0
1520816238956,6,TCP Sampler Binary,200,OK,Thread Group 1-12,text,true,,34,0,2,2,6,0,0
1520816238962,1,TCP Sampler Text,200,OK,Thread Group 1-12,text,true,,81,0,2,2,1,0,0
1520816238960,5,TCP Sampler Binary,200,OK,Thread Group 1-11,text,true,,34,0,2,2,4,0,0
1520816238963,4,TCP Sampler Binary,200,OK,Thread Group 1-12,text,true,,34,0,1,1,4,0,3
1520816238995,1,TCP Sampler Text,200,OK,Thread Group 1-14,text,true,,81,0,2,2,1,0,0
1520816238983,13,TCP Sampler Text,200,OK,Thread Group 1-13,text,true,,81,0,2,2,13,0,0
1520816238996,1,TCP Sampler Binary,200,OK,Thread Group 1-14,text,true,,34,0,2,2,1,0,1
1520816238998,1,TCP Sampler Text,200,OK,Thread Group 1-14,text,true,,81,0,2,2,1,0,0
1520816238997,3,TCP Sampler Binary,200,OK,Thread Group 1-13,text,true,,34,0,2,2,3,0,0
1520816239000,1,TCP Sampler Text,200,OK,Thread Group 1-13,text,true,,81,0,2,2,1,0,0
1520816238999,3,TCP Sampler Binary,200,OK,Thread Group 1-14,text,true,,34,0,2,2,3,0,0
1520816239001,3,TCP Sampler Binary,200,OK,Thread Group 1-13,text,true,,34,0,1,1,3,0,0
1520816239022,2,TCP Sampler Text,200,OK,Thread Group 1-15,text,true,,81,0,1,1,2,0,1
